Roll no,Name of student,Father name,Address,Score in test,No of attempts
1,Namrata,guddu,punjab,19,4
2,Ankit,bkumar,delhi,20,3
3,Shibu,aditya kumar,mumbai,18,3
4,Suraj,ravi raj,haryana,19,4
5,Preeti,guddu prasad,westbengal,18,1
6,Ram,abhishek kumar,pune,13,2
7,Shyam,mandal singh,maharastra,12,3
8,Geeta,ankit chaudhary,bihar,15,4
9,Sita,kishan goud,delhi,16,5
10,Rita,ravi mohan das,gurgaon,18,4
11,Shubham,raman kumar,saharsa,14,3
12,Suhani,kishan saha,chandigarh,12,2
13,Aman,abhishek mandal,mohali,11,4
14,Ayush,parul khurana,jhalandhar,10,5
15,Aaru,vishal kumar,uttrakhand,9,4
